Id,Culture,Text
76,1,Последние из кшатриев
77,0,Insomnia
77,1,Бессонница
78,0,Ram vs. Ram
78,1,Рама против Рамы
79,0,Inner Peace
79,1,Внутренний мир
80,0,Dattatreya’s Ashram
80,1,Ашрам Даттатреи
81,0,The Blood Curse and the three-headed sage
81,1,Кровавое проклятие и трехголовый мудрец
82,0,Thus Spoke Dattatreya
82,1,Так говорил Даттатрея
83,0,Amba's Plea
83,1,Просьба Амбы
84,0,The Duel of the Century
84,1,Дуэль века
85,0,Jagannatashtakam
85,1,Jagannatashtakam
86,0,Bhakti Lalita Devi
86,1,Bhakti Lalita Devi
88,0,The Amba's swear\nBook 3
88,1,Проклятие Амбы\nКнига 3
90,0,NULL
90,1,NULL
94,0,LK
94,1,М К
97,0,LK2
97,1,М К22
101,0,Little Krishna and Demons\nBook 1
101,1,Маленький Кришна и Демоны\nКнига 1
102,0,Who was the rakshasi Putana in her previos life
102,1,Кем была демоница Путана в своей прошлой жизни
103,0,Little Krishna and the demon Utkacha
103,1,Маленький Кришна и демон Гхатоткача
104,0,Short stories from the Mahabharata
104,1,Короткие рассказы из Махабхараты
105,0,3 curses of Karna
105,1,3 проклятия
106,0,Little Krishna and the demon Trinavarta
106,1,Маленький Кришна и демон Тринаварта
107,0,Little Krishna and the  Arjuna trees 
107,1,Маленький Кришна и деревья Арджуна
